BA_ORDER,DESC,LENGTH,WIDTH,HEIGHT,MASS,CUBE
BA3073,DE88GC,2.30,1.12,1.62,1.358,4.173
BA3074,DE88GC,2.30,1.12,1.62,1.358,4.173
BA3075,DE88GC,2.30,1.12,1.62,1.358,4.173
BA3076,DE88GC,2.30,1.12,1.62,1.358,4.173
BA3077,DE110E2,2.77,1.12,1.63,1.510,5.057
BA3078,DE110E2,2.77,1.12,1.63,1.510,5.057
BA3079,DE110GC,2.80,1.05,1.68,1.196,4.939
BA3080,DE110GC,2.80,1.05,1.68,1.196,4.939
BA3081,DE110GC,2.80,1.05,1.68,1.196,4.939
BA3082,DE110GC,2.80,1.05,1.68,1.196,4.939
BA3083,DE150GC,3.38,1.17,1.85,1.881,7.316
BA3102,DE150GC,3.38,1.17,1.85,1.881,7.316
BA3103,DE150GC,3.38,1.17,1.85,1.881,7.316
BA3112,DE400GC,2.66,1.11,1.77,2.300,5.228
BA3113,DE400GC,2.66,1.11,1.77,2.300,5.228
BA3104,DE220GC,3.38,1.17,1.85,1.880,7.316
BA3105,DE220GC,3.38,1.17,1.85,1.880,7.316
BA3106,DE220GC,3.38,1.17,1.85,1.880,7.316
BA3107,DE220GC,3.38,1.17,1.85,1.880,7.316
BA3110,DE250E0,4.03,1.46,2.19,2.782,12.886
BA3119,DE500GC,4.77,1.63,2.36,3.808,18.349
BA3120,DE500GC,4.77,1.63,2.36,3.808,18.349
BA3069,DE65GC,2.33,0.96,1.50,0.980,3.355
BA3070,DE65GC,2.33,0.96,1.50,0.980,3.355
BA3071,DE65GC,2.33,0.96,1.50,0.980,3.355
BA3072,DE65GC,2.33,0.96,1.50,0.980,3.355
BA3122,DE850E0,5.57,2.17,2.40,6.690,28.995
BA3123,DE850E0,5.57,2.17,2.40,6.690,28.995
BA3121,DE660E0,5.32,1.92,2.29,5.952,23.391
BA3053,DE33GC,2.00,0.92,1.44,0.838,2.650
BA3054,DE33GC,2.00,0.92,1.44,0.838,2.650
BA3055,DE33GC,2.00,0.92,1.44,0.838,2.650
BA3056,DE33GC,2.00,0.92,1.44,0.838,2.650
BA3057,DE33GC,2.00,0.92,1.44,0.838,2.650
BA3114,DE450E0,4.93,1.66,2.32,4.707,18.986
BA3058,DE33GC,2.00,0.92,1.44,0.837,2.650
BA3059,DE16E0,1.50,0.62,1.12,0.447,1.037
BA3060,DE16E0,1.50,0.62,1.12,0.447,1.037
BA3061,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3062,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3063,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3108,DE250E0,4.03,1.46,2.19,2.782,12.886
BA3111,DE330E0,3.99,1.21,1.87,2.854,8.987
BA3115,DE450E0,4.93,1.66,2.32,4.707,18.986
BA3116,DE450E0,4.93,1.66,2.32,4.707,18.986
BA3064,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3065,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3066,DE50GC,2.33,0.96,1.50,0.877,3.355
BA3067,DE65GC,2.33,0.96,1.50,0.980,3.355
BA3068,DE65GC,2.33,0.96,1.50,0.980,3.355
